Artist,Track,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Stream,Has_youtube,Artist_LOO_stream,Likes_rate,Comments_rate,Mood_quadrant,Party_index,Key_factor,Licensed_video_combo
Ski Mask The Slump God,Nuketown (feat. Juice WRLD),album,0.808,0.617,-9.32,0.442,0.113,0,0.734,0.632,149.962,166400,66031808,369544416,TRUE,201284332,0.018430254098146154,9.557212184770103e-4,Happy/Energetic,0.49853600000000003,10,Unlicensed_unofficial
NCT DREAM,Glitch Mode,album,0.634,0.78,-2.323,0.0963,0.0164,0,0.141,0.694,166.923,207053,80870010,32661380,TRUE,54027110.5,0.02284110018040062,0.0032199699245740168,Happy/Energetic,0.49452,0,Licensed_official
Chinmayi,Main Rang Sharbaton Ka,album,0.631,0.631,-6.934,0.0307,0.693,0,0.133,0.697,89.975,263152,87878430,41740843,TRUE,16049606,0.005442211473281896,1.3839573601849738e-4,Happy/Energetic,0.398161,6,Licensed_official
Diddy,Bad Boy for Life,album,0.669,0.829,-3.801,0.49,0.179,0,0.241,0.61,118.934,253067,5174815,102111311,TRUE,50327130,0.013052060798308732,6.833094516422326e-4,Happy/Energetic,0.554601,1,Licensed_official
L.V.,Gangsta's Boogie - Barr 9 Version,album,0.737,0.603,-7.49,0.239,0.0606,6.08e-6,0.118,0.492,75.982,281800,48682,61719,TRUE,47456,0.009469619161086233,4.108294646892075e-4,Anger/Unpleasant,0.444411,10,Licensed_official
Gurlez Akhtar,Taur Tappa,single,0.751,0.746,-4.626,0.292,0.188,0,0.0503,0.889,149.867,210998,12226386,258052,TRUE,10419779,0.019856644473681757,0.002336258645850049,Happy/Energetic,0.560246,2,Licensed_official
Eddie Santiago,Tu Me Quemas,album,0.714,0.762,-6.654,0.0429,0.341,5.88e-5,0.0468,0.963,171.409,299960,1462781,21657820,TRUE,32041122,0.009263177468124073,2.953278720464649e-4,Happy/Energetic,0.544068,5,Unlicensed_unofficial
Böhse Onkelz,"Gehasst, Verdammt, Vergöttert",album,0.598,0.824,-10.622,0.131,0.00609,0,0.0975,0.416,92.955,186000,1746270,9823118,TRUE,17975930,0.003525228057516879,1.1567512469434852e-4,Anger/Unpleasant,0.49275199999999997,11,Licensed_official
Pyotr Ilyich Tchaikovsky,"The Nutcracker, Op. 71: Act II Tableau 3: Variation 2: Dance of the Sugar-Plum Fairy",album,0.323,0.0114,-38.855,0.0343,0.893,0.652,0.171,0.134,112.378,141373,11831,24027522,TRUE,15365526,0.014030935677457527,0,Sad/Melancholic,0.0036822,4,Licensed_official
Canserbero,Y la Felicidad Qué,album,0.72,0.827,-5.118,0.384,0.434,0,0.263,0.75,91.488,296072,16591588,41435839,TRUE,85864793.5,0.004736134961885505,1.271126067016611e-4,Happy/Energetic,0.59544,11,Unlicensed_unofficial
Los Amables Del Norte,La Feria de las Flores,album,0.626,0.919,-4.506,0.174,0.344,4.06e-4,0.0675,0.755,111.073,244000,665966,537964,TRUE,102618,0.0038470432424478128,1.982083169411051e-4,Happy/Energetic,0.575294,2,Unlicensed_unofficial
Silvestre Dangond,Ya No Me Duele Más,album,0.732,0.948,-3.103,0.0671,0.184,0,0.372,0.889,98.055,228227,157817709,43765457,TRUE,40819075,0.00277879461550161,7.407913898940201e-5,Happy/Energetic,0.693936,5,Licensed_official
Major Lazer,Watch Out For This (Bumaye),album,0.819,0.759,-4.115,0.147,0.0196,6.53e-6,0.0613,0.88,108.026,269147,36316521,274424397,TRUE,278352756.25,0.009884482051570965,8.335049494416053e-5,Happy/Energetic,0.621621,10,Licensed_official
Pepe Aguilar,Directo Al Corazón,album,0.552,0.273,-7.7,0.0265,0.848,5.24e-5,0.146,0.318,91.876,200480,45567154,107205544,TRUE,47153807,0.003658885520917106,5.995546704540731e-5,Sad/Melancholic,0.15069600000000002,4,Licensed_official
REO Speedwagon,In Your Letter,album,0.641,0.894,-5.108,0.0284,0.273,0,0.409,0.926,131.079,196240,517908,5662948,TRUE,41755071,0.006578388439645652,4.827112151192876e-5,Happy/Energetic,0.5730540000000001,7,Unlicensed_unofficial
My Chemical Romance,Cancer,album,0.457,0.515,-4.31,0.0261,0.358,0,0.278,0.222,74.984,142973,502442,138237271,TRUE,248895410,0.00702767682637996,6.42860270439175e-4,Anger/Unpleasant,0.235355,4,Unlicensed_unofficial
Future,Superhero (Heroes & Villains) [with Future & Chris Brown],album,0.526,0.606,-5.3,0.259,0.152,2.36e-6,0.194,0.492,116.622,182667,16297947,139674263,TRUE,196505124,0.022748018508097982,3.8882197862098825e-4,Anger/Unpleasant,0.318756,5,Licensed_official
King Von,Crazy Story,album,0.83,0.504,-8.92,0.452,0.014,2.74e-5,0.11,0.15,157.004,146773,80996818,149470046,TRUE,72543828,0.009924192330617235,3.2467942135702173e-4,Anger/Unpleasant,0.41831999999999997,11,Licensed_official
Skillet,Whispers in the Dark,album,0.509,0.938,-3.883,0.0715,6.44e-4,0.00246,0.14,0.335,94.019,204347,36011690,104101818,TRUE,173649300.5,0.008088429062895966,2.8171407673452706e-4,Anger/Unpleasant,0.477442,11,Licensed_official
Milky Chance,Down By The River,album,0.688,0.697,-7.955,0.0485,0.753,6.21e-5,0.109,0.46,114.03,241053,115556210,161082531,TRUE,51356941.5,0.005417389511130557,9.677541345462956e-5,Anger/Unpleasant,0.4795359999999999,9,Licensed_official
Swedish House Mafia,Save The World,single,0.507,0.665,-7.598,0.0474,0.0144,0,0.0759,0.4,126.879,213338,125777153,182229567,TRUE,164189570.5,0.006647685848001346,4.893019004810834e-4,Anger/Unpleasant,0.33715500000000004,0,Licensed_official
Shilpi Raj,Lagelu Jahar,single,0.646,0.856,-6.251,0.0997,0.507,0,0.687,0.823,128.038,217500,56194616,3687513,TRUE,2631342,0.006209687419164854,9.790973569425228e-5,Happy/Energetic,0.552976,8,Licensed_official
Ocean Waves For Sleep,Beach Waves and Soothing Brown Noise,album,0,2.52e-4,-17.746,0,0.00948,0.877,0.806,0,0,93452,328,54256600,TRUE,11578423,0.003048780487804878,0,Sad/Melancholic,0,9,Licensed_official
"Tito ""El Bambino""",Siente El Boom (feat. Randy),single,0.805,0.738,-5.905,0.0644,0.0965,0,0.123,0.524,95.012,188825,9846827,144508730,TRUE,47698878,0.008179589221989986,2.862851149918649e-4,Happy/Energetic,0.59409,4,Licensed_official
Diego Verdaguer,Volveré,album,0.5,0.417,-11.239,0.0325,0.871,1.71e-5,0.232,0.455,120.067,242253,133194509,98724823,TRUE,37016998.5,0.004904526507170052,1.2798575652994825e-4,Sad/Melancholic,0.2085,7,Licensed_official
Feid,Normal,album,0.709,0.56,-4.867,0.171,0.034,0,0.315,0.541,170.082,171880,148030141,228262848,TRUE,215026398,0.006647990695354401,1.1390923420116177e-4,Happy/Energetic,0.39704,4,Licensed_official
Lost Frequencies,Kesariya - Lost Frequencies Remix,single,0.64,0.857,-6.373,0.0375,0.0678,0.0132,0.231,0.0543,125.995,257175,88721,1062460,TRUE,87486471,0.04048646881797996,0.002953077625364908,Anger/Unpleasant,0.54848,9,Unlicensed_official
Tony Aguirre,Prendiendo un Cigarro (En Vivo),single,0.679,0.77,-6.104,0.0326,0.713,0,0.0987,0.616,102.401,168341,268991,1045234,TRUE,9161193,0.004565208501399675,4.312411939432918e-4,Happy/Energetic,0.52283,6,Licensed_official
Rammstein,Deutschland,album,0.521,0.895,-5.242,0.0442,5.54e-5,0.349,0.0985,0.237,120.117,322340,294820856,327410793,TRUE,140709845,0.012098679341735578,1.4685372118833115e-4,Anger/Unpleasant,0.466295,7,Licensed_official
Ray Charles,Hit the Road Jack,album,0.598,0.571,-12.616,0.139,0.704,0,0.513,0.962,173.141,119880,71437494,207720281,TRUE,57480006,0.010164354309517072,1.6089590152756477e-4,Happy/Energetic,0.341458,8,Unlicensed_unofficial
Frank Ocean,In My Room,single,0.861,0.647,-7.425,0.0675,0.594,0.661,0.114,0.67,158.037,133680,46692,307632988,TRUE,572546463,0.03287501070847254,6.853422427824896e-4,Happy/Energetic,0.557067,7,Unlicensed_unofficial
Manu Chao,Me Gustas Tu,album,0.657,0.741,-6.822,0.0825,0.663,0.494,0.222,0.908,175.949,239987,679667,335077834,TRUE,55108058,0.023667472453422045,6.061792024623823e-4,Happy/Energetic,0.486837,11,Licensed_official
Rich The Kid,Splashin,album,0.942,0.382,-8.099,0.564,0.00192,0,0.092,0.379,100.017,177864,20264634,250175888,TRUE,15473228,0.01472447022729352,2.889270045538449e-4,Sad/Melancholic,0.359844,10,Licensed_official
Keane,Bedshaped,album,0.332,0.41,-6.988,0.0344,0.609,1.4e-4,0.0963,0.0715,75.042,275973,42422821,52383791,TRUE,66191071,0.0047190873987375806,1.9678087885763185e-4,Sad/Melancholic,0.13612,4,Licensed_official
Héctor Lavoe,La Murga,album,0.604,0.749,-7.591,0.0381,0.65,0.0277,0.0564,0.889,89.013,334080,34069,60528540,TRUE,33673340,0.008835011300595849,3.228741671314098e-4,Happy/Energetic,0.45239599999999996,2,Unlicensed_unofficial
Myke Towers,Girl,album,0.733,0.708,-4.957,0.0937,0.0325,3.27e-4,0.324,0.694,93.021,186427,235763681,242279118,TRUE,217954283,0.006082637469509139,8.779129979735937e-5,Happy/Energetic,0.518964,6,Licensed_official
Bailey Zimmerman,Waiting,single,0.514,0.626,-6.507,0.0288,0.389,3.19e-6,0.0834,0.3,150.047,217600,2378640,8666878,TRUE,25986311.5,0.010295378871960447,1.8035516093229745e-4,Anger/Unpleasant,0.321764,6,Licensed_official
Quevedo,YANKEE,album,0.544,0.747,-4.659,0.194,0.389,6.81e-6,0.159,0.476,123.647,194400,1860182,8740650,TRUE,59110065,0.024936269676838072,3.236242475198663e-4,Anger/Unpleasant,0.406368,6,Licensed_official
d4vd,You and I,single,0.474,0.919,-5.702,0.0381,0.259,0.945,0.341,0.445,90.225,151695,630165,14029309,TRUE,4051032,0.03560019994763276,0.001183816936834004,Anger/Unpleasant,0.435606,10,Unlicensed_official
Ovy On The Drums,Ya No Somos,single,0.829,0.635,-4.489,0.119,0.145,1.1e-5,0.0888,0.598,90.007,189153,288867536,13149791,TRUE,109177911,0.005751414724567734,7.415509647300761e-5,Happy/Energetic,0.526415,0,Unlicensed_official
NLE Choppa,Capo,single,0.614,0.953,-4.162,0.0688,0.119,0,0.331,0.593,154.969,192200,36425514,205449770,TRUE,81378858,0.014472849991904027,4.0976772489744416e-4,Happy/Energetic,0.5851419999999999,2,Unlicensed_unofficial
Booba,Téléphone,single,0.813,0.528,-5.659,0.0315,0.131,0,0.203,0.276,112.016,212035,2642863,13599840,TRUE,33333568,0.017625582559519733,7.314037844564777e-4,Anger/Unpleasant,0.429264,7,Unlicensed_unofficial
Kontra K,Blei (feat. Veysel),album,0.798,0.668,-5.712,0.271,0.13,0,0.0695,0.537,99.895,170624,34928575,79738643,TRUE,29646569,0.008449958236200589,2.084825962696732e-4,Happy/Energetic,0.5330640000000001,11,Licensed_official
Coldplay,Yellow,album,0.429,0.661,-7.227,0.0281,0.00239,1.21e-4,0.234,0.285,173.372,266773,832532409,1483622308,TRUE,1068476729.5,0.005526431103777006,1.4209176570326165e-4,Anger/Unpleasant,0.283569,11,Licensed_official
BK,Lugar na mesa,album,0.808,0.588,-4.916,0.0581,0.0426,6.85e-4,0.136,0.111,124.994,179488,455831,2194472,TRUE,6371603.5,0.03614058719130555,8.314484973597671e-4,Anger/Unpleasant,0.475104,8,Licensed_official
Dino James,WOH,single,0.753,0.594,-6.948,0.307,0.536,3.8e-4,0.304,0.478,189.909,328421,19100435,13593263,TRUE,6677148.5,0.03775322394489968,0.001148926712925648,Anger/Unpleasant,0.44728199999999996,3,Unlicensed_official
Capital Inicial,À Sua Maneira (De Música Ligeira),album,0.628,0.762,-6.017,0.0264,0.00581,6.84e-5,0.39,0.247,110.01,301467,39517801,20147999,TRUE,19295233,0.007642808869855891,2.0051723019709524e-4,Anger/Unpleasant,0.478536,11,Licensed_official
Travis Scott,Goosebumps - Remix,single,0.841,0.593,-7.846,0.0379,0.418,0,0.124,0.808,124.917,162803,10205310,603446629,TRUE,276085666,0.021083435975977213,6.601465315605307e-4,Happy/Energetic,0.49871299999999996,1,Licensed_official
